time,value,container_name
2017-01-08T17:27:00Z,0,system.slice/systemd-udev-trigger.service
2017-01-08T17:27:00Z,1,influxdb
2017-01-08T17:27:00Z,35,system.slice
2017-01-08T17:27:00Z,0,system.slice/cloud-final.service
2017-01-08T17:27:00Z,0,system.slice/system-getty.slice/getty@tty1.service
2017-01-08T17:27:00Z,0,system.slice/var-lib-docker-devicemapper-mnt-71147d500510c1c301becb3c84141f3b3f2b4603fdd83546a3c01f3741dcd811.mount
2017-01-08T17:27:00Z,1,system.slice/kube-proxy.service
2017-01-08T17:27:00Z,0,system.slice/systemd-fsck-root.service
2017-01-08T17:27:00Z,0,user.slice
2017-01-08T17:27:00Z,0,system.slice/var-lib-kubelet-pods-719a0cc1\x2dcce2\x2d11e6\x2dab68\x2dfa163e45d245-volumes-kubernetes.io\x7esecret-default\x2dtoken\x2dy2i9k.mount
2017-01-08T17:27:00Z,0,system.slice/systemd-journald.service
2017-01-08T17:27:00Z,0,system.slice/run-docker-netns-701b42dbd093.mount
2017-01-08T17:27:00Z,0,system.slice/run-docker-netns-215b3a0d7f04.mount
2017-01-08T17:27:00Z,0,system.slice/var-lib-docker-devicemapper-mnt-24077b9b17834a8042d39f8492461c9c364e4fe7c541ca03a17a92f76e516b50.mount
2017-01-08T17:27:00Z,0,system.slice/var-lib-docker-devicemapper-mnt-5b4617d4532c5bec7694ecb79acc8e7a6db5733ca0696fdcfb42589afa16f3c2.mount
2017-01-08T17:27:00Z,93,system.slice/kube-addons.service
2017-01-08T17:27:00Z,0,system.slice/cloud-init-local.service
2017-01-08T17:27:00Z,0,eventer
2017-01-08T17:27:00Z,0,system.slice/systemd-tmpfiles-setup-dev.service
2017-01-08T17:27:00Z,0,system.slice/chronyd.service
2017-01-08T17:27:00Z,0,system.slice/system-serial\x2dgetty.slice/serial-getty@ttyS0.service
2017-01-08T17:27:00Z,0,system.slice/systemd-machined.service
2017-01-08T17:27:00Z,0,system.slice/flanneld.service
2017-01-08T17:27:00Z,3,elasticsearch-logging
2017-01-08T17:27:00Z,11,system.slice/docker.service
2017-01-08T17:27:00Z,0,system.slice/systemd-tmpfiles-setup.service
2017-01-08T17:27:00Z,0,init.scope
2017-01-08T17:27:00Z,0,eventer-nanny
2017-01-08T17:27:00Z,0,system.slice/run-docker-netns-5b4c1b8168e6.mount
2017-01-08T17:27:00Z,0,system.slice/var-lib-docker-devicemapper-mnt-6f3a9cc48b8640fb5176279f90cdce12b1ae786be5154dd613e75b231176474d.mount
2017-01-08T17:27:00Z,0,system.slice/fedora-readonly.service
2017-01-08T17:27:00Z,0,system.slice/cloud-init.service
2017-01-08T17:27:00Z,0,system.slice/systemd-update-utmp.service
2017-01-08T17:27:00Z,1,
2017-01-08T17:27:00Z,0,system.slice/var-lib-docker-devicemapper-mnt-c20c393fd681704d99bbfce25e927d0923d9e9a22988b9f44e51febc79f19ecf.mount
2017-01-08T17:27:00Z,0,system.slice/chronyd.service
2017-01-08T17:27:00Z,0,system.slice/systemd-udev-trigger.service
2017-01-08T17:27:00Z,653,
